Nr,Code,Municipality,Seat,County,"Population
 (30 September 2013)","Total
area (km2)","Land
area
 (km2)","Inland
water
area (km2)","Sea
water
area (km2)","Density (people
/km2)"
18,0885,Borgholm Municipality,Borgholm,Kalmar County,"<span data-sort-value=""7004106340000000000♠"">10,634","<span data-sort-value=""7003365483000000000♠"">3,654.83","<span data-sort-value=""7002678650000000000♠"">678.65","<span data-sort-value=""7000346000000000000♠"">3.46","<span data-sort-value=""7003297272000000000♠"">2,972.72","<span data-sort-value=""7001156700000000000♠"">15.67"
19,2081,Borlänge Municipality,Borlänge,Dalarna County,"<span data-sort-value=""7004498250000000000♠"">49,825","<span data-sort-value=""7002635810000000000♠"">635.81","<span data-sort-value=""7002583870000000000♠"">583.87","<span data-sort-value=""7001519400000000000♠"">51.94","<span data-sort-value=""5000000000000000000♠"">0.00","<span data-sort-value=""7001853400000000000♠"">85.34"
20,1490,Borås Municipality,Borås,Västra Götaland County,"<span data-sort-value=""7005105748000000000♠"">105,748","<span data-sort-value=""7002967540000000000♠"">967.54","<span data-sort-value=""7002909900000000000♠"">909.90","<span data-sort-value=""7001576400000000000♠"">57.64","<span data-sort-value=""5000000000000000000♠"">0.00","<span data-sort-value=""7002116220000000000♠"">116.22"
21,0127,Botkyrka Municipality,Tumba,Stockholm County,"<span data-sort-value=""7004873860000000000♠"">87,386","<span data-sort-value=""7002222320000000000♠"">222.32","<span data-sort-value=""7002194170000000000♠"">194.17","<span data-sort-value=""7001100600000000000♠"">10.06","<span data-sort-value=""7001127500000000000♠"">12.75","<span data-sort-value=""7002450050000000000♠"">450.05"
22,0560,Boxholm Municipality,Boxholm,Östergötland County,"<span data-sort-value=""7003525600000000000♠"">5,256","<span data-sort-value=""7002603870000000000♠"">603.87","<span data-sort-value=""7002525770000000000♠"">525.77","<span data-sort-value=""7001781000000000000♠"">78.10","<span data-sort-value=""5000000000000000000♠"">0.00","<span data-sort-value=""7001100000000000000♠"">10.00"
23,1272,Bromölla Municipality,Bromölla,Skåne County,"<span data-sort-value=""7004123310000000000♠"">12,331","<span data-sort-value=""7002197140000000000♠"">197.14","<span data-sort-value=""7002162500000000000♠"">162.50","<span data-sort-value=""7001227700000000000♠"">22.77","<span data-sort-value=""7001118699999999999♠"">11.87","<span data-sort-value=""7001758800000000000♠"">75.88"
24,2305,Bräcke Municipality,Bräcke,Jämtland County,"<span data-sort-value=""7003663000000000000♠"">6,630","<span data-sort-value=""7003378370000000000♠"">3,783.70","<span data-sort-value=""7003340820000000000♠"">3,408.20","<span data-sort-value=""7002375500000000000♠"">375.50","<span data-sort-value=""5000000000000000000♠"">0.00","<span data-sort-value=""7000195000000000000♠"">1.95"
25,1231,Burlöv Municipality,Arlöv,Skåne County,"<span data-sort-value=""7004171580000000000♠"">17,158","<span data-sort-value=""7001192000000000000♠"">19.20","<span data-sort-value=""7001189000000000000♠"">18.90","<span data-sort-value=""6999120000000000000♠"">0.12","<span data-sort-value=""6999180000000000000♠"">0.18","<span data-sort-value=""7002907830000000000♠"">907.83"
26,1278,Båstad Municipality,Båstad,Skåne County,"<span data-sort-value=""7004142450000000000♠"">14,245","<span data-sort-value=""7002881900000000000♠"">881.90","<span data-sort-value=""7002209790000000000♠"">209.79","<span data-sort-value=""6999610000000000000♠"">0.61","<span data-sort-value=""7002671500000000000♠"">671.50","<span data-sort-value=""7001679000000000000♠"">67.90"
27,1438,Dals-Ed Municipality,Ed,Västra Götaland County,"<span data-sort-value=""7003475800000000000♠"">4,758","<span data-sort-value=""7002825430000000000♠"">825.43","<span data-sort-value=""7002724340000000000♠"">724.34","<span data-sort-value=""7002101090000000000♠"">101.09","<span data-sort-value=""5000000000000000000♠"">0.00","<span data-sort-value=""7000657000000000000♠"">6.57"
28,0162,Danderyd Municipality,Danderyd (Djursholm),Stockholm County,"<span data-sort-value=""7004320740000000000♠"">32,074","<span data-sort-value=""7001326700000000000♠"">32.67","<span data-sort-value=""7001264000000000000♠"">26.40","<span data-sort-value=""6999150000000000000♠"">0.15","<span data-sort-value=""7000612000000000000♠"">6.12","<span data-sort-value=""7003121492000000000♠"">1,214.92"
29,1862,Degerfors Municipality,Degerfors,Örebro County,"<span data-sort-value=""7003949000000000000♠"">9,490","<span data-sort-value=""7002433680000000000♠"">433.68","<span data-sort-value=""7002383980000000000♠"">383.98","<span data-sort-value=""7001497000000000000♠"">49.70","<span data-sort-value=""5000000000000000000♠"">0.00","<span data-sort-value=""7001247100000000000♠"">24.71"
30,2425,Dorotea Municipality,Dorotea,Västerbotten County,"<span data-sort-value=""7003276900000000000♠"">2,769","<span data-sort-value=""7003293990000000000♠"">2,939.90","<span data-sort-value=""7003276492000000000♠"">2,764.92","<span data-sort-value=""7002174980000000000♠"">174.98","<span data-sort-value=""5000000000000000000♠"">0.00","<span data-sort-value=""7000100000000000000♠"">1.00"
31,1730,Eda Municipality,Charlottenberg,Värmland County,"<span data-sort-value=""7003844300000000000♠"">8,443","<span data-sort-value=""7002894920000000000♠"">894.92","<span data-sort-value=""7002820180000000000♠"">820.18","<span data-sort-value=""7001747400000000000♠"">74.74","<span data-sort-value=""5000000000000000000♠"">0.00","<span data-sort-value=""7001102899999999999♠"">10.29"
32,0125,Ekerö Municipality,Ekerö,Stockholm County,"<span data-sort-value=""7004262820000000000♠"">26,282","<span data-sort-value=""7002383610000000000♠"">383.61","<span data-sort-value=""7002217680000000000♠"">217.68","<span data-sort-value=""6999610000000000000♠"">0.61","<span data-sort-value=""5000000000000000000♠"">0.00","<span data-sort-value=""7002120740000000000♠"">120.74"
33,0686,Eksjö Municipality,Eksjö,Jönköping County,"<span data-sort-value=""7004164540000000000♠"">16,454","<span data-sort-value=""7002873290000000000♠"">873.29","<span data-sort-value=""7002799480000000000♠"">799.48","<span data-sort-value=""7001738100000000000♠"">73.81","<span data-sort-value=""5000000000000000000♠"">0.00","<span data-sort-value=""7001205799999999999♠"">20.58"
34,0862,Emmaboda Municipality,Emmaboda,Kalmar County,"<span data-sort-value=""7003896900000000000♠"">8,969","<span data-sort-value=""7002718650000000000♠"">718.65","<span data-sort-value=""7002689700000000000♠"">689.70","<span data-sort-value=""7001289500000000000♠"">28.95","<span data-sort-value=""5000000000000000000♠"">0.00","<span data-sort-value=""7001130000000000000♠"">13.00"
35,0381,Enköping Municipality,Enköping,Uppsala County,"<span data-sort-value=""7004405420000000000♠"">40,542","<span data-sort-value=""7003132382000000000♠"">1,323.82","<span data-sort-value=""7003117850000000000♠"">1,178.50","<span data-sort-value=""7000463000000000000♠"">4.63","<span data-sort-value=""5000000000000000000♠"">0.00","<span data-sort-value=""7001344000000000000♠"">34.40"
36,0484,Eskilstuna Municipality,Eskilstuna,Södermanland County,"<span data-sort-value=""7004997450000000000♠"">99,745","<span data-sort-value=""7003125049000000000♠"">1,250.49","<span data-sort-value=""7003109986999999999♠"">1,099.87","<span data-sort-value=""7001185900000000000♠"">18.59","<span data-sort-value=""5000000000000000000♠"">0.00","<span data-sort-value=""7001906900000000000♠"">90.69"
37,1285,Eslöv Municipality,Eslöv,Skåne County,"<span data-sort-value=""7004317930000000000♠"">31,793","<span data-sort-value=""7002424680000000000♠"">424.68","<span data-sort-value=""7002419060000000000♠"">419.06","<span data-sort-value=""7000562000000000000♠"">5.62","<span data-sort-value=""5000000000000000000♠"">0.00","<span data-sort-value=""7001758700000000000♠"">75.87"
