Nr,Code,Municipality,Seat,County,"Population
 (30 September 2013)","Total
area (km2)","Land
area
 (km2)","Inland
water
area (km2)","Sea
water
area (km2)","Density (people
/km2)"
76,0860,Hultsfred Municipality,Hultsfred,Kalmar County,"<span data-sort-value=""7004136270000000000♠"">13,627","<span data-sort-value=""7003118701000000000♠"">1,187.01","<span data-sort-value=""7003112152000000000♠"">1,121.52","<span data-sort-value=""7001654900000000000♠"">65.49","<span data-sort-value=""5000000000000000000♠"">0.00","<span data-sort-value=""7001121500000000000♠"">12.15"
77,1315,Hylte Municipality,Hyltebruk,Halland County,"<span data-sort-value=""7003999300000000000♠"">9,993","<span data-sort-value=""7003104658999999999♠"">1,046.59","<span data-sort-value=""7002946080000000000♠"">946.08","<span data-sort-value=""7002100510000000000♠"">100.51","<span data-sort-value=""5000000000000000000♠"">0.00","<span data-sort-value=""7001105600000000000♠"">10.56"
78,0305,Håbo Municipality,Bålsta,Uppsala County,"<span data-sort-value=""7004199400000000000♠"">19,940","<span data-sort-value=""7002186470000000000♠"">186.47","<span data-sort-value=""7002143750000000000♠"">143.75","<span data-sort-value=""6999370000000000000♠"">0.37","<span data-sort-value=""5000000000000000000♠"">0.00","<span data-sort-value=""7002138710000000000♠"">138.71"
79,1863,Hällefors Municipality,Hällefors,Örebro County,"<span data-sort-value=""7003698100000000000♠"">6,981","<span data-sort-value=""7003115125000000000♠"">1,151.25","<span data-sort-value=""7002984950000000000♠"">984.95","<span data-sort-value=""7002166300000000000♠"">166.30","<span data-sort-value=""5000000000000000000♠"">0.00","<span data-sort-value=""7000709000000000000♠"">7.09"
80,2361,Härjedalen Municipality,Sveg,Jämtland County,"<span data-sort-value=""7004102520000000000♠"">10,252","<span data-sort-value=""7004118596200000000♠"">11,859.62","<span data-sort-value=""7004112861000000000♠"">11,286.10","<span data-sort-value=""7002573520000000000♠"">573.52","<span data-sort-value=""5000000000000000000♠"">0.00","<span data-sort-value=""6999910000000000000♠"">0.91"
81,2280,Härnösand Municipality,Härnösand,Västernorrland County,"<span data-sort-value=""7004244680000000000♠"">24,468","<span data-sort-value=""7003193858000000000♠"">1,938.58","<span data-sort-value=""7003105835999999999♠"">1,058.36","<span data-sort-value=""7001425700000000000♠"">42.57","<span data-sort-value=""7002837650000000000♠"">837.65","<span data-sort-value=""7001231200000000000♠"">23.12"
82,1401,Härryda Municipality,Mölnlycke,Västra Götaland County,"<span data-sort-value=""7004356360000000000♠"">35,636","<span data-sort-value=""7002291090000000000♠"">291.09","<span data-sort-value=""7002266779999999999♠"">266.78","<span data-sort-value=""7001243100000000000♠"">24.31","<span data-sort-value=""5000000000000000000♠"">0.00","<span data-sort-value=""7002133580000000000♠"">133.58"
83,1293,Hässleholm Municipality,Hässleholm,Skåne County,"<span data-sort-value=""7004501870000000000♠"">50,187","<span data-sort-value=""7003130627000000000♠"">1,306.27","<span data-sort-value=""7003126853000000000♠"">1,268.53","<span data-sort-value=""7001377400000000000♠"">37.74","<span data-sort-value=""5000000000000000000♠"">0.00","<span data-sort-value=""7001395600000000000♠"">39.56"
84,1284,Höganäs Municipality,Höganäs,Skåne County,"<span data-sort-value=""7004250160000000000♠"">25,016","<span data-sort-value=""7002676120000000000♠"">676.12","<span data-sort-value=""7002150840000000000♠"">150.84","<span data-sort-value=""6999380000000000000♠"">0.38","<span data-sort-value=""7002524900000000000♠"">524.90","<span data-sort-value=""7002165840000000000♠"">165.84"
85,0821,Högsby Municipality,Högsby,Kalmar County,"<span data-sort-value=""7003569200000000000♠"">5,692","<span data-sort-value=""7002799420000000000♠"">799.42","<span data-sort-value=""7002751110000000000♠"">751.11","<span data-sort-value=""7001483100000000000♠"">48.31","<span data-sort-value=""5000000000000000000♠"">0.00","<span data-sort-value=""7000758000000000000♠"">7.58"
86,1266,Hörby Municipality,Hörby,Skåne County,"<span data-sort-value=""7004149120000000000♠"">14,912","<span data-sort-value=""7002433050000000000♠"">433.05","<span data-sort-value=""7002419410000000000♠"">419.41","<span data-sort-value=""7001136400000000000♠"">13.64","<span data-sort-value=""5000000000000000000♠"">0.00","<span data-sort-value=""7001355500000000000♠"">35.55"
87,1267,Höör Municipality,Höör,Skåne County,"<span data-sort-value=""7004156710000000000♠"">15,671","<span data-sort-value=""7002320000000000000♠"">320.00","<span data-sort-value=""7002290850000000000♠"">290.85","<span data-sort-value=""7001291500000000000♠"">29.15","<span data-sort-value=""5000000000000000000♠"">0.00","<span data-sort-value=""7001538800000000000♠"">53.88"
88,2510,Jokkmokk Municipality,Jokkmokk,Norrbotten County,"<span data-sort-value=""7003507400000000000♠"">5,074","<span data-sort-value=""7004193344400000000♠"">19,334.44","<span data-sort-value=""7004176143200000000♠"">17,614.32","<span data-sort-value=""7003172012000000000♠"">1,720.12","<span data-sort-value=""5000000000000000000♠"">0.00","<span data-sort-value=""6999290000000000000♠"">0.29"
89,0123,Järfälla Municipality,Järfälla (Jakobsberg),Stockholm County,"<span data-sort-value=""7004690120000000000♠"">69,012","<span data-sort-value=""7001630200000000000♠"">63.02","<span data-sort-value=""7001538100000000000♠"">53.81","<span data-sort-value=""7000109000000000000♠"">1.09","<span data-sort-value=""5000000000000000000♠"">0.00","<span data-sort-value=""7003128251000000000♠"">1,282.51"
90,0680,Jönköping Municipality,Jönköping,Jönköping County,"<span data-sort-value=""7005130413000000000♠"">130,413","<span data-sort-value=""7003192502000000000♠"">1,925.02","<span data-sort-value=""7003148036000000000♠"">1,480.36","<span data-sort-value=""7001733500000000000♠"">73.35","<span data-sort-value=""5000000000000000000♠"">0.00","<span data-sort-value=""7001881000000000000♠"">88.10"
91,2514,Kalix Municipality,Kalix,Norrbotten County,"<span data-sort-value=""7004164470000000000♠"">16,447","<span data-sort-value=""7003371206000000000♠"">3,712.06","<span data-sort-value=""7003180767000000000♠"">1,807.67","<span data-sort-value=""7001973000000000000♠"">97.30","<span data-sort-value=""7003180709000000000♠"">1,807.09","<span data-sort-value=""7000910000000000000♠"">9.10"
92,0880,Kalmar Municipality,Kalmar,Kalmar County,"<span data-sort-value=""7004639730000000000♠"">63,973","<span data-sort-value=""7003125096000000000♠"">1,250.96","<span data-sort-value=""7002956900000000000♠"">956.90","<span data-sort-value=""7000377000000000000♠"">3.77","<span data-sort-value=""7002290290000000000♠"">290.29","<span data-sort-value=""7001668500000000000♠"">66.85"
93,1446,Karlsborg Municipality,Karlsborg,Västra Götaland County,"<span data-sort-value=""7003675200000000000♠"">6,752","<span data-sort-value=""7002797350000000000♠"">797.35","<span data-sort-value=""7002405870000000000♠"">405.87","<span data-sort-value=""7001772700000000000♠"">77.27","<span data-sort-value=""5000000000000000000♠"">0.00","<span data-sort-value=""7001166400000000000♠"">16.64"
94,1082,Karlshamn Municipality,Karlshamn,Blekinge County,"<span data-sort-value=""7004312270000000000♠"">31,227","<span data-sort-value=""7002832420000000000♠"">832.42","<span data-sort-value=""7002488680000000000♠"">488.68","<span data-sort-value=""7001199100000000000♠"">19.91","<span data-sort-value=""7002323830000000000♠"">323.83","<span data-sort-value=""7001639000000000000♠"">63.90"
95,1883,Karlskoga Municipality,Karlskoga,Örebro County,"<span data-sort-value=""7004297660000000000♠"">29,766","<span data-sort-value=""7002510380000000000♠"">510.38","<span data-sort-value=""7002468230000000000♠"">468.23","<span data-sort-value=""7001421500000000000♠"">42.15","<span data-sort-value=""5000000000000000000♠"">0.00","<span data-sort-value=""7001635700000000000♠"">63.57"
96,1080,Karlskrona Municipality,Karlskrona,Blekinge County,"<span data-sort-value=""7004640500000000000♠"">64,050","<span data-sort-value=""7003333805000000000♠"">3,338.05","<span data-sort-value=""7003104221000000000♠"">1,042.21","<span data-sort-value=""7001274600000000000♠"">27.46","<span data-sort-value=""7003226838000000000♠"">2,268.38","<span data-sort-value=""7001614600000000000♠"">61.46"
97,1780,Karlstad Municipality,Karlstad,Värmland County,"<span data-sort-value=""7004875960000000000♠"">87,596","<span data-sort-value=""7003151774000000000♠"">1,517.74","<span data-sort-value=""7003115052000000000♠"">1,150.52","<span data-sort-value=""7001737200000000000♠"">73.72","<span data-sort-value=""5000000000000000000♠"">0.00","<span data-sort-value=""7001761400000000000♠"">76.14"
98,0483,Katrineholm Municipality,Katrineholm,Södermanland County,"<span data-sort-value=""7004328740000000000♠"">32,874","<span data-sort-value=""7003118954000000000♠"">1,189.54","<span data-sort-value=""7003102019000000000♠"">1,020.19","<span data-sort-value=""7001940400000000000♠"">94.04","<span data-sort-value=""5000000000000000000♠"">0.00","<span data-sort-value=""7001322200000000000♠"">32.22"
99,1715,Kil Municipality,Kil,Värmland County,"<span data-sort-value=""7004118260000000000♠"">11,826","<span data-sort-value=""7002406870000000000♠"">406.87","<span data-sort-value=""7002359730000000000♠"">359.73","<span data-sort-value=""7001471400000000000♠"">47.14","<span data-sort-value=""5000000000000000000♠"">0.00","<span data-sort-value=""7001328700000000000♠"">32.87"
100,0513,Kinda Municipality,Kisa,Östergötland County,"<span data-sort-value=""7003981200000000000♠"">9,812","<span data-sort-value=""7003130196000000000♠"">1,301.96","<span data-sort-value=""7003112947000000000♠"">1,129.47","<span data-sort-value=""7002172490000000000♠"">172.49","<span data-sort-value=""5000000000000000000♠"">0.00","<span data-sort-value=""7000869000000000000♠"">8.69"
101,2584,Kiruna Municipality,Kiruna,Norrbotten County,"<span data-sort-value=""7004231340000000000♠"">23,134","<span data-sort-value=""7004205514199999999♠"">20,551.42","<span data-sort-value=""7004191403300000000♠"">19,140.33","<span data-sort-value=""7003141109000000000♠"">1,411.09","<span data-sort-value=""5000000000000000000♠"">0.00","<span data-sort-value=""7000121000000000000♠"">1.21"
102,1276,Klippan Municipality,Klippan,Skåne County,"<span data-sort-value=""7004167250000000000♠"">16,725","<span data-sort-value=""7002379410000000000♠"">379.41","<span data-sort-value=""7002374320000000000♠"">374.32","<span data-sort-value=""7000509000000000000♠"">5.09","<span data-sort-value=""5000000000000000000♠"">0.00","<span data-sort-value=""7001446800000000000♠"">44.68"
103,0330,Knivsta Municipality,Knivsta,Uppsala County,"<span data-sort-value=""7004155420000000000♠"">15,542","<span data-sort-value=""7002295120000000000♠"">295.12","<span data-sort-value=""7002282170000000000♠"">282.17","<span data-sort-value=""7000423000000000000♠"">4.23","<span data-sort-value=""5000000000000000000♠"">0.00","<span data-sort-value=""7001550800000000000♠"">55.08"
104,2282,Kramfors Municipality,Kramfors,Västernorrland County,"<span data-sort-value=""7004183890000000000♠"">18,389","<span data-sort-value=""7003289259000000000♠"">2,892.59","<span data-sort-value=""7003169476000000000♠"">1,694.76","<span data-sort-value=""7001903199999999999♠"">90.32","<span data-sort-value=""7003110751000000000♠"">1,107.51","<span data-sort-value=""7001108500000000000♠"">10.85"
105,1290,Kristianstad Municipality,Kristianstad,Skåne County,"<span data-sort-value=""7004809480000000000♠"">80,948","<span data-sort-value=""7003181824000000000♠"">1,818.24","<span data-sort-value=""7003124625000000000♠"">1,246.25","<span data-sort-value=""7001940900000000000♠"">94.09","<span data-sort-value=""7002477900000000000♠"">477.90","<span data-sort-value=""7001649500000000000♠"">64.95"
106,1781,Kristinehamn Municipality,Kristinehamn,Värmland County,"<span data-sort-value=""7004239280000000000♠"">23,928","<span data-sort-value=""7003138444000000000♠"">1,384.44","<span data-sort-value=""7002753120000000000♠"">753.12","<span data-sort-value=""7001405100000000000♠"">40.51","<span data-sort-value=""5000000000000000000♠"">0.00","<span data-sort-value=""7001317700000000000♠"">31.77"
107,2309,Krokom Municipality,Krokom,Jämtland County,"<span data-sort-value=""7004146040000000000♠"">14,604","<span data-sort-value=""7003681275000000000♠"">6,812.75","<span data-sort-value=""7003615518000000000♠"">6,155.18","<span data-sort-value=""7002657570000000000♠"">657.57","<span data-sort-value=""5000000000000000000♠"">0.00","<span data-sort-value=""7000237000000000000♠"">2.37"
108,1881,Kumla Municipality,Kumla,Örebro County,"<span data-sort-value=""7004208060000000000♠"">20,806","<span data-sort-value=""7002205800000000000♠"">205.80","<span data-sort-value=""7002204180000000000♠"">204.18","<span data-sort-value=""7000162000000000000♠"">1.62","<span data-sort-value=""5000000000000000000♠"">0.00","<span data-sort-value=""7002101900000000000♠"">101.90"
109,1384,Kungsbacka Municipality,Kungsbacka,Halland County,"<span data-sort-value=""7004772110000000000♠"">77,211","<span data-sort-value=""7003147294000000000♠"">1,472.94","<span data-sort-value=""7002606670000000000♠"">606.67","<span data-sort-value=""7001351100000000000♠"">35.11","<span data-sort-value=""7002831160000000000♠"">831.16","<span data-sort-value=""7002127270000000000♠"">127.27"
110,1960,Kungsör Municipality,Kungsör,Västmanland County,"<span data-sort-value=""7003814100000000000♠"">8,141","<span data-sort-value=""7002227130000000000♠"">227.13","<span data-sort-value=""7002202650000000000♠"">202.65","<span data-sort-value=""6999970000000000000♠"">0.97","<span data-sort-value=""5000000000000000000♠"">0.00","<span data-sort-value=""7001401700000000000♠"">40.17"
111,1482,Kungälv Municipality,Kungälv,Västra Götaland County,"<span data-sort-value=""7004420540000000000♠"">42,054","<span data-sort-value=""7002682430000000000♠"">682.43","<span data-sort-value=""7002362590000000000♠"">362.59","<span data-sort-value=""7000810000000000000♠"">8.10","<span data-sort-value=""7002311740000000000♠"">311.74","<span data-sort-value=""7002115980000000000♠"">115.98"
112,1261,Kävlinge Municipality,Kävlinge,Skåne County,"<span data-sort-value=""7004296040000000000♠"">29,604","<span data-sort-value=""7002292450000000000♠"">292.45","<span data-sort-value=""7002152560000000000♠"">152.56","<span data-sort-value=""7000108000000000000♠"">1.08","<span data-sort-value=""7002138810000000000♠"">138.81","<span data-sort-value=""7002194050000000000♠"">194.05"
113,1983,Köping Municipality,Köping,Västmanland County,"<span data-sort-value=""7004251380000000000♠"">25,138","<span data-sort-value=""7002644790000000000♠"">644.79","<span data-sort-value=""7002604550000000000♠"">604.55","<span data-sort-value=""7001262500000000000♠"">26.25","<span data-sort-value=""5000000000000000000♠"">0.00","<span data-sort-value=""7001415800000000000♠"">41.58"
114,1381,Laholm Municipality,Laholm,Halland County,"<span data-sort-value=""7004234710000000000♠"">23,471","<span data-sort-value=""7002963380000000000♠"">963.38","<span data-sort-value=""7002882960000000000♠"">882.96","<span data-sort-value=""7001191600000000000♠"">19.16","<span data-sort-value=""7001612600000000000♠"">61.26","<span data-sort-value=""7001265799999999999♠"">26.58"
115,1282,Landskrona Municipality,Landskrona,Skåne County,"<span data-sort-value=""7004429070000000000♠"">42,907","<span data-sort-value=""7002300640000000000♠"">300.64","<span data-sort-value=""7002140280000000000♠"">140.28","<span data-sort-value=""6999710000000000000♠"">0.71","<span data-sort-value=""7002159650000000000♠"">159.65","<span data-sort-value=""7002305870000000000♠"">305.87"
116,1860,Laxå Municipality,Laxå,Örebro County,"<span data-sort-value=""7003559200000000000♠"">5,592","<span data-sort-value=""7002737560000000000♠"">737.56","<span data-sort-value=""7002601970000000000♠"">601.97","<span data-sort-value=""7002135590000000000♠"">135.59","<span data-sort-value=""5000000000000000000♠"">0.00","<span data-sort-value=""7000928999999999999♠"">9.29"
117,1814,Lekeberg Municipality,Fjugesta,Örebro County,"<span data-sort-value=""7003730300000000000♠"">7,303","<span data-sort-value=""7002481630000000000♠"">481.63","<span data-sort-value=""7002463160000000000♠"">463.16","<span data-sort-value=""7001184700000000000♠"">18.47","<span data-sort-value=""5000000000000000000♠"">0.00","<span data-sort-value=""7001157700000000000♠"">15.77"
118,2029,Leksand Municipality,Leksand,Dalarna County,"<span data-sort-value=""7004151520000000000♠"">15,152","<span data-sort-value=""7003141196000000000♠"">1,411.96","<span data-sort-value=""7003122123000000000♠"">1,221.23","<span data-sort-value=""7002190730000000000♠"">190.73","<span data-sort-value=""5000000000000000000♠"">0.00","<span data-sort-value=""7001124100000000000♠"">12.41"
119,1441,Lerum Municipality,Lerum,Västra Götaland County,"<span data-sort-value=""7004392030000000000♠"">39,203","<span data-sort-value=""7002308380000000000♠"">308.38","<span data-sort-value=""7002258610000000000♠"">258.61","<span data-sort-value=""7001497700000000000♠"">49.77","<span data-sort-value=""5000000000000000000♠"">0.00","<span data-sort-value=""7002151590000000000♠"">151.59"
120,0761,Lessebo Municipality,Lessebo,Kronoberg County,"<span data-sort-value=""7003802300000000000♠"">8,023","<span data-sort-value=""7002456340000000000♠"">456.34","<span data-sort-value=""7002412550000000000♠"">412.55","<span data-sort-value=""7001437900000000000♠"">43.79","<span data-sort-value=""5000000000000000000♠"">0.00","<span data-sort-value=""7001194500000000000♠"">19.45"
121,0186,Lidingö Municipality,Lidingö,Stockholm County,"<span data-sort-value=""7004450340000000000♠"">45,034","<span data-sort-value=""7001510500000000000♠"">51.05","<span data-sort-value=""7001308000000000000♠"">30.80","<span data-sort-value=""6999320000000000000♠"">0.32","<span data-sort-value=""7001199300000000000♠"">19.93","<span data-sort-value=""7003146214000000000♠"">1,462.14"
122,1494,Lidköping Municipality,Lidköping,Västra Götaland County,"<span data-sort-value=""7004383440000000000♠"">38,344","<span data-sort-value=""7003137260999999999♠"">1,372.61","<span data-sort-value=""7002695610000000000♠"">695.61","<span data-sort-value=""7000250000000000000♠"">2.50","<span data-sort-value=""5000000000000000000♠"">0.00","<span data-sort-value=""7001551200000000000♠"">55.12"
123,1462,Lilla Edet Municipality,Lilla Edet,Västra Götaland County,"<span data-sort-value=""7004127660000000000♠"">12,766","<span data-sort-value=""7002342370000000000♠"">342.37","<span data-sort-value=""7002316230000000000♠"">316.23","<span data-sort-value=""7001261400000000000♠"">26.14","<span data-sort-value=""5000000000000000000♠"">0.00","<span data-sort-value=""7001403700000000000♠"">40.37"
124,1885,Lindesberg Municipality,Lindesberg,Örebro County,"<span data-sort-value=""7004231140000000000♠"">23,114","<span data-sort-value=""7003148050000000000♠"">1,480.50","<span data-sort-value=""7003137758999999999♠"">1,377.59","<span data-sort-value=""7002102910000000000♠"">102.91","<span data-sort-value=""5000000000000000000♠"">0.00","<span data-sort-value=""7001167800000000000♠"">16.78"
125,0580,Linköping Municipality,Linköping,Östergötland County,"<span data-sort-value=""7005149906000000000♠"">149,906","<span data-sort-value=""7003156826000000000♠"">1,568.26","<span data-sort-value=""7003142744000000000♠"">1,427.44","<span data-sort-value=""7002140820000000000♠"">140.82","<span data-sort-value=""5000000000000000000♠"">0.00","<span data-sort-value=""7002105020000000000♠"">105.02"
126,0781,Ljungby Municipality,Ljungby,Kronoberg County,"<span data-sort-value=""7004273240000000000♠"">27,324","<span data-sort-value=""7003199513000000000♠"">1,995.13","<span data-sort-value=""7003174790000000000♠"">1,747.90","<span data-sort-value=""7002247230000000000♠"">247.23","<span data-sort-value=""5000000000000000000♠"">0.00","<span data-sort-value=""7001156300000000000♠"">15.63"
127,2161,Ljusdal Municipality,Ljusdal,Gävleborg County,"<span data-sort-value=""7004188560000000000♠"">18,856","<span data-sort-value=""7003560984000000000♠"">5,609.84","<span data-sort-value=""7003525670000000000♠"">5,256.70","<span data-sort-value=""7002353140000000000♠"">353.14","<span data-sort-value=""5000000000000000000♠"">0.00","<span data-sort-value=""7000359000000000000♠"">3.59"
128,1864,Ljusnarsberg Municipality,Kopparberg,Örebro County,"<span data-sort-value=""7003484400000000000♠"">4,844","<span data-sort-value=""7002631080000000000♠"">631.08","<span data-sort-value=""7002575540000000000♠"">575.54","<span data-sort-value=""7001555400000000000♠"">55.54","<span data-sort-value=""5000000000000000000♠"">0.00","<span data-sort-value=""7000842000000000000♠"">8.42"
129,1262,Lomma Municipality,Lomma,Skåne County,"<span data-sort-value=""7004224980000000000♠"">22,498","<span data-sort-value=""7001902000000000000♠"">90.20","<span data-sort-value=""7001555200000000000♠"">55.52","<span data-sort-value=""6999820000000000000♠"">0.82","<span data-sort-value=""7001338600000000000♠"">33.86","<span data-sort-value=""7002405220000000000♠"">405.22"
130,2085,Ludvika Municipality,Ludvika,Dalarna County,"<span data-sort-value=""7004256430000000000♠"">25,643","<span data-sort-value=""7003164781000000000♠"">1,647.81","<span data-sort-value=""7003149042000000000♠"">1,490.42","<span data-sort-value=""7002157390000000000♠"">157.39","<span data-sort-value=""5000000000000000000♠"">0.00","<span data-sort-value=""7001172100000000000♠"">17.21"
131,2580,Luleå Municipality,Luleå,Norrbotten County,"<span data-sort-value=""7004753610000000000♠"">75,361","<span data-sort-value=""7003495375000000000♠"">4,953.75","<span data-sort-value=""7003209417999999999♠"">2,094.18","<span data-sort-value=""7002139850000000000♠"">139.85","<span data-sort-value=""7003271971999999999♠"">2,719.72","<span data-sort-value=""7001359900000000000♠"">35.99"
132,1281,Lund Municipality,Lund,Skåne County,"<span data-sort-value=""7005114061000000000♠"">114,061","<span data-sort-value=""7002439910000000000♠"">439.91","<span data-sort-value=""7002427230000000000♠"">427.23","<span data-sort-value=""7001126800000000000♠"">12.68","<span data-sort-value=""5000000000000000000♠"">0.00","<span data-sort-value=""7002266980000000000♠"">266.98"
133,2481,Lycksele Municipality,Lycksele,Västerbotten County,"<span data-sort-value=""7004122920000000000♠"">12,292","<span data-sort-value=""7003588893000000000♠"">5,888.93","<span data-sort-value=""7003551849000000000♠"">5,518.49","<span data-sort-value=""7002370440000000000♠"">370.44","<span data-sort-value=""5000000000000000000♠"">0.00","<span data-sort-value=""7000223000000000000♠"">2.23"
134,1484,Lysekil Municipality,Lysekil,Västra Götaland County,"<span data-sort-value=""7004143970000000000♠"">14,397","<span data-sort-value=""7002695410000000000♠"">695.41","<span data-sort-value=""7002208450000000000♠"">208.45","<span data-sort-value=""6999840000000000000♠"">0.84","<span data-sort-value=""7002486120000000000♠"">486.12","<span data-sort-value=""7001690699999999999♠"">69.07"
135,1280,Malmö Municipality,Malmö,Skåne County,"<span data-sort-value=""7005336226000000000♠"">336,226","<span data-sort-value=""7002332640000000000♠"">332.64","<span data-sort-value=""7002156870000000000♠"">156.87","<span data-sort-value=""7000152000000000000♠"">1.52","<span data-sort-value=""7002174250000000000♠"">174.25","<span data-sort-value=""7003198598000000000♠"">1,985.98"
136,2023,Malung-Sälen Municipality,Malung,Dalarna County,"<span data-sort-value=""7004100510000000000♠"">10,051","<span data-sort-value=""7003431249000000000♠"">4,312.49","<span data-sort-value=""7003408506000000000♠"">4,085.06","<span data-sort-value=""7002227430000000000♠"">227.43","<span data-sort-value=""5000000000000000000♠"">0.00","<span data-sort-value=""7000246000000000000♠"">2.46"
137,2418,Malå Municipality,Malå,Västerbotten County,"<span data-sort-value=""7003317000000000000♠"">3,170","<span data-sort-value=""7003172748000000000♠"">1,727.48","<span data-sort-value=""7003159895000000000♠"">1,598.95","<span data-sort-value=""7002128530000000000♠"">128.53","<span data-sort-value=""5000000000000000000♠"">0.00","<span data-sort-value=""7000198000000000000♠"">1.98"
138,1493,Mariestad Municipality,Mariestad,Västra Götaland County,"<span data-sort-value=""7004237690000000000♠"">23,769","<span data-sort-value=""7003150322000000000♠"">1,503.22","<span data-sort-value=""7002601180000000000♠"">601.18","<span data-sort-value=""7001132300000000000♠"">13.23","<span data-sort-value=""5000000000000000000♠"">0.00","<span data-sort-value=""7001395400000000000♠"">39.54"
139,1463,Mark Municipality,Kinna,Västra Götaland County,"<span data-sort-value=""7004336890000000000♠"">33,689","<span data-sort-value=""7003101320000000000♠"">1,013.20","<span data-sort-value=""7002929250000000000♠"">929.25","<span data-sort-value=""7001839500000000000♠"">83.95","<span data-sort-value=""5000000000000000000♠"">0.00","<span data-sort-value=""7001362500000000000♠"">36.25"
140,0767,Markaryd Municipality,Markaryd,Kronoberg County,"<span data-sort-value=""7003950400000000000♠"">9,504","<span data-sort-value=""7002532830000000000♠"">532.83","<span data-sort-value=""7002517190000000000♠"">517.19","<span data-sort-value=""7001156400000000000♠"">15.64","<span data-sort-value=""5000000000000000000♠"">0.00","<span data-sort-value=""7001183800000000000♠"">18.38"
141,1461,Mellerud Municipality,Mellerud,Västra Götaland County,"<span data-sort-value=""7003891300000000000♠"">8,913","<span data-sort-value=""7002944460000000000♠"">944.46","<span data-sort-value=""7002516799999999999♠"">516.80","<span data-sort-value=""7001475600000000000♠"">47.56","<span data-sort-value=""5000000000000000000♠"">0.00","<span data-sort-value=""7001172500000000000♠"">17.25"
142,0586,Mjölby Municipality,Mjölby,Östergötland County,"<span data-sort-value=""7004263090000000000♠"">26,309","<span data-sort-value=""7002557120000000000♠"">557.12","<span data-sort-value=""7002546039999999999♠"">546.04","<span data-sort-value=""7001110800000000000♠"">11.08","<span data-sort-value=""5000000000000000000♠"">0.00","<span data-sort-value=""7001481800000000000♠"">48.18"
143,2062,Mora Municipality,Mora,Dalarna County,"<span data-sort-value=""7004200110000000000♠"">20,011","<span data-sort-value=""7003311154000000000♠"">3,111.54","<span data-sort-value=""7003281256000000000♠"">2,812.56","<span data-sort-value=""7002298980000000000♠"">298.98","<span data-sort-value=""5000000000000000000♠"">0.00","<span data-sort-value=""7000711000000000000♠"">7.11"
144,0583,Motala Municipality,Motala,Östergötland County,"<span data-sort-value=""7004421260000000000♠"">42,126","<span data-sort-value=""7003126723000000000♠"">1,267.23","<span data-sort-value=""7002983490000000000♠"">983.49","<span data-sort-value=""7001685699999999999♠"">68.57","<span data-sort-value=""5000000000000000000♠"">0.00","<span data-sort-value=""7001428300000000000♠"">42.83"
145,0642,Mullsjö Municipality,Mullsjö,Jönköping County,"<span data-sort-value=""7003701300000000000♠"">7,013","<span data-sort-value=""7002211030000000000♠"">211.03","<span data-sort-value=""7002200160000000000♠"">200.16","<span data-sort-value=""7001108699999999999♠"">10.87","<span data-sort-value=""5000000000000000000♠"">0.00","<span data-sort-value=""7001350400000000000♠"">35.04"
146,1430,Munkedal Municipality,Munkedal,Västra Götaland County,"<span data-sort-value=""7004102200000000000♠"">10,220","<span data-sort-value=""7002675010000000000♠"">675.01","<span data-sort-value=""7002634010000000000♠"">634.01","<span data-sort-value=""7001336500000000000♠"">33.65","<span data-sort-value=""7000735000000000000♠"">7.35","<span data-sort-value=""7001161200000000000♠"">16.12"
147,1762,Munkfors Municipality,Munkfors,Värmland County,"<span data-sort-value=""7003366500000000000♠"">3,665","<span data-sort-value=""7002147970000000000♠"">147.97","<span data-sort-value=""7002141580000000000♠"">141.58","<span data-sort-value=""7000639000000000000♠"">6.39","<span data-sort-value=""5000000000000000000♠"">0.00","<span data-sort-value=""7001258900000000000♠"">25.89"
148,1481,Mölndal Municipality,Mölndal,Västra Götaland County,"<span data-sort-value=""7004618870000000000♠"">61,887","<span data-sort-value=""7002152280000000000♠"">152.28","<span data-sort-value=""7002145840000000000♠"">145.84","<span data-sort-value=""7000644000000000000♠"">6.44","<span data-sort-value=""5000000000000000000♠"">0.00","<span data-sort-value=""7002424350000000000♠"">424.35"
149,0861,Mönsterås Municipality,Mönsterås,Kalmar County,"<span data-sort-value=""7004128950000000000♠"">12,895","<span data-sort-value=""7002941040000000000♠"">941.04","<span data-sort-value=""7002599460000000000♠"">599.46","<span data-sort-value=""7000857000000000000♠"">8.57","<span data-sort-value=""7002333010000000000♠"">333.01","<span data-sort-value=""7001215100000000000♠"">21.51"
150,0840,Mörbylånga Municipality,Mörbylånga,Kalmar County,"<span data-sort-value=""7004142990000000000♠"">14,299","<span data-sort-value=""7003304342000000000♠"">3,043.42","<span data-sort-value=""7002666790000000000♠"">666.79","<span data-sort-value=""7000154000000000000♠"">1.54","<span data-sort-value=""7003237509000000000♠"">2,375.09","<span data-sort-value=""7001214400000000000♠"">21.44"
151,0182,Nacka Municipality,Nacka,Stockholm County,"<span data-sort-value=""7004942150000000000♠"">94,215","<span data-sort-value=""7002128830000000000♠"">128.83","<span data-sort-value=""7001951200000000000♠"">95.12","<span data-sort-value=""7000450000000000000♠"">4.50","<span data-sort-value=""7001292100000000000♠"">29.21","<span data-sort-value=""7002990490000000000♠"">990.49"
